var1,var2,var3,var4
97,85,93,89
94,86,89,84
96,91,81,83
88,95,90,80
93,90,82,94
97,82,83,87
91,80,90,91
88,84,94,91
81,94,89,85
87,97,91,98
98,91,99,84
97,83,89,94
99,90,99,88
89,99,95,92
82,86,82,97
86,85,89,95
87,84,89,80
89,93,97,99
84,97,93,82
87,83,85,97
92,88,86,95
88,95,80,97
84,92,97,82
94,82,84,92
88,97,82,85
84,85,82,89
85,85,99,80
86,99,94,87
82,82,81,97
81,81,97,85
82,84,93,80
84,97,98,96
83,98,94,84
93,97,92,82
95,80,93,94
99,88,94,83
88,99,81,84
97,96,97,92
93,89,91,98
88,92,83,92
89,83,84,97
83,94,94,95
91,86,96,85
81,92,96,91
95,82,81,98
84,87,94,95
95,82,97,98
87,81,96,80
99,90,80,92
86,89,80,85
84,81,98,84
88,91,84,88
80,86,91,90
96,87,88,93
90,85,97,90
80,82,92,87
86,92,94,91
98,96,83,85
87,97,98,95
90,83,80,98
91,83,94,89
91,97,95,97
98,91,87,82
96,91,96,93
86,90,91,89
83,87,94,81
80,91,80,83
83,90,81,89
93,88,87,85
89,81,99,97
81,86,85,81
80,95,93,94
97,94,96,81
97,97,98,97
93,89,96,95
81,83,89,91
89,93,80,88
86,82,83,98
80,97,97,98
89,89,87,80
86,92,89,83
83,88,92,91
81,94,81,95
97,99,89,96
81,89,92,84
90,88,81,87
90,85,91,80
81,92,89,94
95,92,96,84
92,84,95,95
90,95,98,90
91,91,80,96
87,88,94,84
94,89,86,92
93,87,90,95
91,82,97,94
83,91,92,96
80,80,91,81
92,80,90,96
85,95,96,89
